v8-version,5,1,281,101,0
code-creation,CallIC,12,0x22b1b5510cc0,113,"A call IC from the snapshot"
code-creation,Stub,3,0x22b1b5510d40,2360,"RecordWriteStub"
code-creation,Stub,15,0x22b1b5511680,356,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5511800,184,"DoubleToIStub"
code-creation,Stub,3,0x22b1b55118c0,507,"NumberToStringStub"
code-creation,Stub,3,0x22b1b5511ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x22b1b5511b80,204,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5511c60,244,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5511d60,182,"DoubleToIStub"
code-creation,Stub,15,0x22b1b5511e20,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5511fe0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5512060,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b55121c0,791,"FastNewClosureStub"
code-creation,Stub,3,0x22b1b55124e0,2410,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5512e60,2406,"RecordWriteStub"
code-creation,CallIC,12,0x22b1b55137e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5513860,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x22b1b5513a40,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x22b1b5513b40,151,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5513be0,575,"FastNewContextStub"
code-creation,Stub,3,0x22b1b5513e20,523,"FastNewContextStub"
code-creation,Stub,15,0x22b1b5514040,471,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5514220,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5514380,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5514400,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5514480,320,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b55145c0,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x22b1b5514aa0,363,"FastNewContextStub"
code-creation,Stub,15,0x22b1b5514c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5514de0,443,"BinaryOpICStub"
code-creation,CallIC,12,0x22b1b5514fa0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5515020,464,"A call IC from the snapshot"
code-creation,Stub,15,0x22b1b5515200,447,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b55153c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5515440,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b5515540,2372,"RecordWriteStub"
code-creation,Stub,15,0x22b1b5515ea0,276,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5515fc0,188,"DoubleToIStub"
code-creation,Stub,3,0x22b1b5516080,419,"FastNewContextStub"
code-creation,Stub,15,0x22b1b5516240,244,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5516340,385,"JSEntryStub"
code-creation,Stub,3,0x22b1b55164e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x22b1b5516ca0,2406,"RecordWriteStub"
code-creation,Stub,15,0x22b1b5517620,276,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5517740,320,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5517880,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b5517900,407,"FastNewContextStub"
code-creation,Handler,4,0x22b1b5517aa0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5517b20,356,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5517ca0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5517d20,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5517da0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5517e20,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5517ea0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x22b1b5517f20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5517fa0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x22b1b5518180,333,"ArrayConstructorStub"
code-creation,Stub,3,0x22b1b55182e0,790,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b5518600,2425,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5518f80,798,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b55192a0,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b5519500,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b5519760,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b55199c0,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b5519c20,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b5519e80,579,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b551a0e0,539,"FastNewContextStub"
code-creation,Stub,15,0x22b1b551a300,320,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551a440,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551a4c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551a540,204,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551a620,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b551a6a0,447,"FastNewContextStub"
code-creation,Stub,15,0x22b1b551a860,204,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b551a940,204,"BinaryOpICStub"
code-creation,Stub,17,0x22b1b551aa20,216,"ToBooleanICStub"
code-creation,Handler,4,0x22b1b551ab00,112,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551ab80,927,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551af20,419,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551b0e0,120,"An IC handler from the snapshot"
code-creation,Stub,16,0x22b1b551b160,194,"CompareICStub"
code-creation,Handler,4,0x22b1b551b240,348,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551b3a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551b420,212,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b551b500,224,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551b5e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551b660,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Handler,4,0x22b1b551b6e0,551,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b551b920,2380,"RecordWriteStub"
code-creation,Stub,15,0x22b1b551c280,204,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b551c360,1529,"RecordWriteStub"
code-creation,Stub,3,0x22b1b551c960,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,0x22b1b551cbc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551cc40,240,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551cd40,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b551cdc0,734,"ToLengthStub"
code-creation,Stub,3,0x22b1b551d0a0,145,"NonNumberToNumberStub"
code-creation,Stub,3,0x22b1b551d140,1503,"RecordWriteStub"
code-creation,Stub,15,0x22b1b551d720,276,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551d840,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551d8c0,180,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551d980,151,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b551da20,503,"InternalArrayNoArgumentConstructorStub"
code-creation,CallIC,12,0x22b1b551dc20,113,"A call IC from the snapshot"
tick,0x7f0951beb6fd,18805,0,0x0,4
tick,0x7f0951beb6fd,18844,0,0x0,4
tick,0x7f0951beb6fd,18881,0,0x0,4
tick,0x7f0951beb6fd,18915,0,0x0,4
tick,0x7f0951beb6fd,18951,0,0x0,4
tick,0x7f0951ece30a,18985,0,0x0,4
code-creation,CallIC,12,0x22b1b551dca0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x22b1b551de80,415,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551e020,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551e0a0,939,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b551e460,188,"DoubleToIStub"
code-creation,Stub,15,0x22b1b551e520,467,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b551e700,1508,"RecordWriteStub"
code-creation,LoadIC,10,0x22b1b551ed00,514,"A load IC from the snapshot"
code-creation,Handler,4,0x22b1b551ef20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551efa0,467,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b551f180,415,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551f320,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551f3a0,264,"An IC handler from the snapshot"
code-creation,Stub,16,0x22b1b551f4c0,172,"CompareICStub"
code-creation,Stub,15,0x22b1b551f580,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551f740,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551f7c0,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551f980,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b551fa00,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b551fbc0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b551fc40,160,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b551fce0,791,"FastNewClosureStub"
code-creation,Stub,17,0x22b1b5520000,150,"ToBooleanICStub"
code-creation,Stub,3,0x22b1b55200a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x22b1b5520180,503,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x22b1b5520380,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x22b1b55205e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,4,0x22b1b55207e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5520860,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b55208e0,555,"ArrayNArgumentsConstructorStub"
code-creation,Stub,15,0x22b1b5520b20,151,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5520bc0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x22b1b5520f80,464,"A call IC from the snapshot"
code-creation,Handler,4,0x22b1b5521160,947,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5521520,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x22b1b55215a0,1387,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x22b1b5521b20,188,"DoubleToIStub"
code-creation,Stub,15,0x22b1b5521be0,419,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5521da0,443,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5521f60,224,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5522040,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x22b1b5522240,284,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5522360,328,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b55224c0,320,"BinaryOpICStub"
