v8-version,5,1,281,101,0
code-creation,Stub,3,0x3742f90118c0,507,"NumberToStringStub"
code-creation,Stub,3,0x3742f9011ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x3742f9011b80,204,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9011c60,244,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9011d60,182,"DoubleToIStub"
code-creation,Stub,15,0x3742f9011e20,443,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9011fe0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9012060,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f90121c0,791,"FastNewClosureStub"
code-creation,Stub,3,0x3742f90124e0,2410,"RecordWriteStub"
code-creation,Stub,3,0x3742f9012e60,2406,"RecordWriteStub"
code-creation,CallIC,12,0x3742f90137e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f9013860,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x3742f9013a40,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x3742f9013b40,151,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9013be0,575,"FastNewContextStub"
code-creation,Stub,3,0x3742f9013e20,523,"FastNewContextStub"
code-creation,Stub,15,0x3742f9014040,471,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9014220,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9014380,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9014400,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9014480,320,"BinaryOpICStub"
code-creation,Stub,3,0x3742f90145c0,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x3742f9014aa0,363,"FastNewContextStub"
code-creation,Stub,15,0x3742f9014c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9014de0,443,"BinaryOpICStub"
code-creation,CallIC,12,0x3742f9014fa0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f9015020,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3742f9015200,447,"BinaryOpICStub"
code-creation,Handler,4,0x3742f90153c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9015440,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f9015540,2372,"RecordWriteStub"
code-creation,Stub,15,0x3742f9015ea0,276,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9015fc0,188,"DoubleToIStub"
code-creation,Stub,3,0x3742f9016080,419,"FastNewContextStub"
code-creation,Stub,15,0x3742f9016240,244,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9016340,385,"JSEntryStub"
code-creation,Stub,3,0x3742f90164e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x3742f9016ca0,2406,"RecordWriteStub"
code-creation,Stub,15,0x3742f9017620,276,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9017740,320,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9017880,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f9017900,407,"FastNewContextStub"
code-creation,Handler,4,0x3742f9017aa0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9017b20,356,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9017ca0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9017d20,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9017da0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9017e20,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9017ea0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3742f9017f20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f9017fa0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x3742f9018180,333,"ArrayConstructorStub"
code-creation,Stub,3,0x3742f90182e0,790,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f9018600,2425,"RecordWriteStub"
code-creation,Stub,3,0x3742f9018f80,798,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f90192a0,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f9019500,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f9019760,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f90199c0,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f9019c20,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f9019e80,579,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f901a0e0,539,"FastNewContextStub"
code-creation,Stub,15,0x3742f901a300,320,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901a440,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901a4c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901a540,204,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901a620,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f901a6a0,447,"FastNewContextStub"
code-creation,Stub,15,0x3742f901a860,204,"BinaryOpICStub"
code-creation,Stub,15,0x3742f901a940,204,"BinaryOpICStub"
code-creation,Stub,17,0x3742f901aa20,216,"ToBooleanICStub"
code-creation,Handler,4,0x3742f901ab00,112,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901ab80,927,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901af20,419,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901b0e0,120,"An IC handler from the snapshot"
code-creation,Stub,16,0x3742f901b160,194,"CompareICStub"
code-creation,Handler,4,0x3742f901b240,348,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901b3a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901b420,212,"BinaryOpICStub"
code-creation,Stub,15,0x3742f901b500,224,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901b5e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901b660,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Handler,4,0x3742f901b6e0,551,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f901b920,2380,"RecordWriteStub"
code-creation,Stub,15,0x3742f901c280,204,"BinaryOpICStub"
code-creation,Stub,3,0x3742f901c360,1529,"RecordWriteStub"
code-creation,Stub,3,0x3742f901c960,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,0x3742f901cbc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901cc40,240,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901cd40,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f901cdc0,734,"ToLengthStub"
code-creation,Stub,3,0x3742f901d0a0,145,"NonNumberToNumberStub"
code-creation,Stub,3,0x3742f901d140,1503,"RecordWriteStub"
code-creation,Stub,15,0x3742f901d720,276,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901d840,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901d8c0,180,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901d980,151,"BinaryOpICStub"
code-creation,Stub,3,0x3742f901da20,503,"InternalArrayNoArgumentConstructorStub"
code-creation,CallIC,12,0x3742f901dc20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f901dca0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3742f901de80,415,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901e020,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901e0a0,939,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f901e460,188,"DoubleToIStub"
code-creation,Stub,15,0x3742f901e520,467,"BinaryOpICStub"
code-creation,Stub,3,0x3742f901e700,1508,"RecordWriteStub"
code-creation,LoadIC,10,0x3742f901ed00,514,"A load IC from the snapshot"
code-creation,Handler,4,0x3742f901ef20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901efa0,467,"BinaryOpICStub"
code-creation,Stub,15,0x3742f901f180,415,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901f320,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901f3a0,264,"An IC handler from the snapshot"
code-creation,Stub,16,0x3742f901f4c0,172,"CompareICStub"
code-creation,Stub,15,0x3742f901f580,443,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901f740,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901f7c0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901f980,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f901fa00,443,"BinaryOpICStub"
code-creation,Handler,4,0x3742f901fbc0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f901fc40,160,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f901fce0,791,"FastNewClosureStub"
code-creation,Stub,17,0x3742f9020000,150,"ToBooleanICStub"
code-creation,Stub,3,0x3742f90200a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x3742f9020180,503,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3742f9020380,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3742f90205e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,4,0x3742f90207e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9020860,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f90208e0,555,"ArrayNArgumentsConstructorStub"
code-creation,Stub,15,0x3742f9020b20,151,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9020bc0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3742f9020f80,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3742f9021160,947,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9021520,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x3742f90215a0,1387,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x3742f9021b20,188,"DoubleToIStub"
code-creation,Stub,15,0x3742f9021be0,419,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9021da0,443,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9021f60,224,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9022040,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x3742f9022240,284,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9022360,328,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f90224c0,320,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9022600,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9022680,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9022700,204,"BinaryOpICStub"
code-creation,Handler,4,0x3742f90227e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9022860,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f90228e0,116,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3742f9022960,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f90229e0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3742f9022bc0,151,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9022c60,212,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9022d40,212,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9022e20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9022ea0,244,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9022fa0,935,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9023360,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f90233e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f9023460,117,"ToNumberStub"
code-creation,CallIC,12,0x3742f90234e0,458,"A call IC from the snapshot"
code-creation,Handler,4,0x3742f90236c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9023740,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f90237c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9023840,116,"An IC handler from the snapshot"
code-creation,KeyedLoadIC,11,0x3742f90238c0,393,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,11,0x3742f9023a60,1049,"A keyed load IC from the snapshot"
code-creation,Stub,3,0x3742f9023e80,968,"NameDictionaryLookupStub"
code-creation,Stub,15,0x3742f9024260,467,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9024440,204,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9024520,945,"SubStringStub"
code-creation,Stub,3,0x3742f90248e0,791,"FastNewClosureStub"
code-creation,Stub,15,0x3742f9024c00,419,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9024dc0,415,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9024f60,385,"JSEntryStub"
code-creation,CallIC,12,0x3742f9025100,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f9025180,464,"A call IC from the snapshot"
code-creation,Stub,3,0x3742f9025360,345,"InstanceOfStub"
