v8-version,5,1,281,101,0
code-creation,Stub,3,0x3cbbd67108a0,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x3cbbd6710aa0,543,"ArrayNArgumentsConstructorStub"
code-creation,CallIC,12,0x3cbbd6710cc0,113,"A call IC from the snapshot"
code-creation,Stub,3,0x3cbbd6710d40,2360,"RecordWriteStub"
code-creation,Stub,15,0x3cbbd6711680,356,"BinaryOpICStub"
tick,0x7f48cc5af6fd,11182,0,0x0,4
code-creation,Stub,3,0x3cbbd6711800,184,"DoubleToIStub"
code-creation,Stub,3,0x3cbbd67118c0,507,"NumberToStringStub"
code-creation,Stub,3,0x3cbbd6711ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x3cbbd6711b80,204,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6711c60,244,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6711d60,182,"DoubleToIStub"
code-creation,Stub,15,0x3cbbd6711e20,443,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6711fe0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6712060,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd67121c0,791,"FastNewClosureStub"
code-creation,Stub,3,0x3cbbd67124e0,2410,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6712e60,2406,"RecordWriteStub"
code-creation,CallIC,12,0x3cbbd67137e0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd6713860,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x3cbbd6713a40,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x3cbbd6713b40,151,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6713be0,575,"FastNewContextStub"
code-creation,Stub,3,0x3cbbd6713e20,523,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd6714040,471,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6714220,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6714380,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6714400,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6714480,320,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd67145c0,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x3cbbd6714aa0,363,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd6714c20,447,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6714de0,443,"BinaryOpICStub"
code-creation,CallIC,12,0x3cbbd6714fa0,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd6715020,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3cbbd6715200,447,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd67153c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6715440,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd6715540,2372,"RecordWriteStub"
code-creation,Stub,15,0x3cbbd6715ea0,276,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6715fc0,188,"DoubleToIStub"
code-creation,Stub,3,0x3cbbd6716080,419,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd6716240,244,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6716340,385,"JSEntryStub"
code-creation,Stub,3,0x3cbbd67164e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x3cbbd6716ca0,2406,"RecordWriteStub"
code-creation,Stub,15,0x3cbbd6717620,276,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6717740,320,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6717880,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd6717900,407,"FastNewContextStub"
code-creation,Handler,4,0x3cbbd6717aa0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6717b20,356,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6717ca0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6717d20,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6717da0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6717e20,116,"An IC handler from the snapshot"
tick,0x7f48cc5af6fd,17119,0,0x0,4
tick,0x7f48cc5af6fd,17159,0,0x0,4
tick,0x7f48cc5af6fd,17187,0,0x0,4
tick,0x7f48cc5af6fd,17216,0,0x0,4
tick,0x7f48cc5af6fd,17244,0,0x0,4
tick,0x7f48cc5af6fd,17274,0,0x0,4
tick,0x7f48cc89230a,17327,0,0x0,4
code-creation,Handler,4,0x3cbbd6717ea0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3cbbd6717f20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd6717fa0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x3cbbd6718180,333,"ArrayConstructorStub"
code-creation,Stub,3,0x3cbbd67182e0,790,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd6718600,2425,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6718f80,798,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd67192a0,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd6719500,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd6719760,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd67199c0,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd6719c20,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd6719e80,579,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd671a0e0,539,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd671a300,320,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671a440,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671a4c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671a540,204,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671a620,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd671a6a0,447,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd671a860,204,"BinaryOpICStub"
